;"Tracker
Existing Subnet
PT Aplikanusa Lintasarta
PT Mastersystem Infotama, Tbk";;;;;;;;;;;;;;;;;;;;;;;;
No;Namespace;Name;CIDR;Provider;VPC;;;;;;;;;;;;;;;;;;;;
43;-;subnet-bank-mega-project2;192.168.42.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
44;-;subnet-bank-mega-project2-new;10.158.32.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
45;-;subnet-bankmega;192.168.13.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
46;-;subnet-benchmark-ai-inference;192.168.39.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
47;-;subnet-bsp-vm;192.168.43.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
48;-;subnet-computer-vision;192.168.40.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
49;-;subnet-documentation;192.168.9.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
50;-;subnet-dpr-prosa;192.168.20.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
51;-;subnet-egk-data-scientist;192.168.46.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
52;-;subnet-feedloop;192.168.10.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
53;-;subnet-feedloop-ibm-watson;192.168.44.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
54;-;subnet-gdp-project;192.168.38.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
55;-;subnet-gpu-merdeka;192.168.5.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
56;-;subnet-hkc-vcluster-test1;192.168.100.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
57;-;subnet-indosat-legalpropertamina;192.168.18.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
58;-;subnet-la-morpheus;192.168.15.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
59;-;subnet-llmaas-internal-la;192.168.34.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
60;-;subnet-nk;192.168.2.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
61;-;subnet-pdsi-kemkominfo;192.168.17.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
62;-;subnet-phr;192.168.31.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
63;-;subnet-prosa;192.168.3.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
64;-;subnet-sahabat-ai;192.168.7.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
65;-;subnet-talentdna-ai;192.168.57.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
66;-;subnet-talita;192.168.12.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
